Experiment Title,Hs-His6-PEX5C vs HsPEX5C,,,,,,,,
Well ID,Type,Contents,Protein Name,Protein Concentration,Tracer Name,Tracer Concentration,Competitor Name,Competitor Concentration,Concentration Units
A1,Compound,,Hs-His6-PEX5C,10000,Lissamine-YQSKL,200,,,nM
A2,Compound,,Hs-His6-PEX5C,6666.67,Lissamine-YQSKL,200,,,nM
A3,Compound,,Hs-His6-PEX5C,4444.44,Lissamine-YQSKL,200,,,nM
A4,Compound,,Hs-His6-PEX5C,2962.96,Lissamine-YQSKL,200,,,nM
A5,Compound,,Hs-His6-PEX5C,1975.31,Lissamine-YQSKL,200,,,nM
A6,Compound,,Hs-His6-PEX5C,1316.87,Lissamine-YQSKL,200,,,nM
A7,Compound,,Hs-His6-PEX5C,877.91,Lissamine-YQSKL,200,,,nM
A8,Compound,,Hs-His6-PEX5C,585.28,Lissamine-YQSKL,200,,,nM
A9,Compound,,Hs-His6-PEX5C,390.18,Lissamine-YQSKL,200,,,nM
A10,Compound,,Hs-His6-PEX5C,260.12,Lissamine-YQSKL,200,,,nM
A11,Compound,,Hs-His6-PEX5C,173.42,Lissamine-YQSKL,200,,,nM
A12,Compound,,Hs-His6-PEX5C,115.61,Lissamine-YQSKL,200,,,nM
A13,Compound,,Hs-His6-PEX5C,77.07,Lissamine-YQSKL,200,,,nM
A14,Compound,,Hs-His6-PEX5C,51.38,Lissamine-YQSKL,200,,,nM
A15,Compound,,Hs-His6-PEX5C,34.25,Lissamine-YQSKL,200,,,nM
A16,Compound,,Hs-His6-PEX5C,22.84,Lissamine-YQSKL,200,,,nM
A17,Compound,,Hs-His6-PEX5C,15.22,Lissamine-YQSKL,200,,,nM
A18,Compound,,Hs-His6-PEX5C,10.15,Lissamine-YQSKL,200,,,nM
A19,Compound,,Hs-His6-PEX5C,6.77,Lissamine-YQSKL,200,,,nM
A20,Compound,,Hs-His6-PEX5C,4.51,Lissamine-YQSKL,200,,,nM
A21,Compound,,Hs-His6-PEX5C,3.01,Lissamine-YQSKL,200,,,nM
A22,Compound,,Hs-His6-PEX5C,2,Lissamine-YQSKL,200,,,nM
A23,Compound,,Hs-His6-PEX5C,1.34,Lissamine-YQSKL,200,,,nM
A24,Compound,,Hs-His6-PEX5C,0,Lissamine-YQSKL,200,,,nM
B1,Compound,,Hs-His6-PEX5C,10000,Lissamine-YQSKL,200,,,nM
B2,Compound,,Hs-His6-PEX5C,6666.67,Lissamine-YQSKL,200,,,nM
B3,Compound,,Hs-His6-PEX5C,4444.44,Lissamine-YQSKL,200,,,nM
B4,Compound,,Hs-His6-PEX5C,2962.96,Lissamine-YQSKL,200,,,nM
B5,Compound,,Hs-His6-PEX5C,1975.31,Lissamine-YQSKL,200,,,nM
B6,Compound,,Hs-His6-PEX5C,1316.87,Lissamine-YQSKL,200,,,nM
B7,Compound,,Hs-His6-PEX5C,877.91,Lissamine-YQSKL,200,,,nM
B8,Compound,,Hs-His6-PEX5C,585.28,Lissamine-YQSKL,200,,,nM
B9,Compound,,Hs-His6-PEX5C,390.18,Lissamine-YQSKL,200,,,nM
B10,Compound,,Hs-His6-PEX5C,260.12,Lissamine-YQSKL,200,,,nM
B11,Compound,,Hs-His6-PEX5C,173.42,Lissamine-YQSKL,200,,,nM
